
[00:00:00.020 --> 00:00:03.600]  欢迎收听谷爱,我是星风公,本集节目由雨伞王赞助
[00:03:11.280 --> 00:03:12.400]  我们就不要去点名人家
[00:03:12.400 --> 00:03:14.140]  但是我也是一开始觉得说
[00:03:14.140 --> 00:03:15.200]  这个东西喝起来蛮顺
[00:03:15.200 --> 00:03:15.940]  以前不懂的时候
[00:03:15.940 --> 00:03:18.720]  那可是现在稍微的去走了一轮之后
[00:03:18.720 --> 00:03:21.280]  就觉得那个闻起来是非常的人工的味道
[00:03:21.280 --> 00:03:23.140]  所以就比较不喜欢
[00:03:23.140 --> 00:03:24.520]  那你可能就在一千块以下
[00:03:24.520 --> 00:03:26.180]  就比较有机会去买到这样子的东西
[00:03:26.180 --> 00:03:26.700]  那大概一千块以下
[00:03:26.700 --> 00:03:28.000]  一千块到三千块之间
[00:03:28.000 --> 00:03:30.040]  我觉得就是一个蛮好的甜蜜点这样
[00:03:30.040 --> 00:03:31.300]  那在群联这边
[00:03:31.300 --> 00:03:31.920]  不是群联
[00:03:31.920 --> 00:03:33.240]  不是8299
[00:03:33.240 --> 00:03:33.920]  群联
[00:03:33.920 --> 00:03:35.000]  群联这里
[00:03:35.000 --> 00:03:36.920]  他的满头酒子
[00:03:36.920 --> 00:03:38.800]  大概是落在一千块以下的一个价位
[00:03:38.800 --> 00:03:40.620]  所以我就去稍微的试了一下
[00:03:40.620 --> 00:03:42.240]  但因为他选项是真的蛮多的
[00:03:42.240 --> 00:03:43.320]  那我相信每个群联
[00:03:43.320 --> 00:03:44.700]  可能也会有不一样的展示
[00:03:44.700 --> 00:03:47.320]  那所以为了要加速自己的效率
[00:03:47.320 --> 00:03:48.240]  我的做法是
[00:03:48.240 --> 00:03:49.040]  我还是先打开
[00:03:49.040 --> 00:03:51.100]  我自己平常会去使用的一些红酒APP
[00:03:51.100 --> 00:03:52.500]  因为要去管理自己的酒窖
[00:03:52.500 --> 00:03:53.560]  知道里面有什么东西
[00:03:53.560 --> 00:03:56.680]  那所以就用那个去扫描了一下酒标
[00:03:56.680 --> 00:03:57.440]  我先筛掉
[00:03:57.440 --> 00:03:59.440]  大概就是可能评分在八十分以下的
[00:03:59.440 --> 00:04:01.200]  那其实评分在八十分以下很难
[00:04:01.200 --> 00:04:02.180]  就代表你可能真的
[00:04:02.180 --> 00:04:03.220]  他妈烂到一个极限
[00:04:03.220 --> 00:04:04.080]  才在那个位置
[00:04:04.080 --> 00:04:05.100]  那当然不是代表说
[00:04:05.100 --> 00:04:06.800]  我们一定要跟着评分去做事情
[00:04:06.800 --> 00:04:08.100]  只是说因为时间是有限的
[00:04:08.100 --> 00:04:08.700]  所以我们先把一些
[00:04:08.700 --> 00:04:09.580]  可能很明显的雷
[00:04:09.580 --> 00:04:10.500]  先把它弄掉之后
[00:04:10.500 --> 00:04:12.800]  那剩下的我就去挑我喜欢的
[00:04:12.800 --> 00:04:14.100]  那其实我目前最喜欢的是
[00:04:14.100 --> 00:04:15.240]  博根蒂
[00:04:15.240 --> 00:04:16.400]  或是有限法创意是布根蒂
[00:04:16.400 --> 00:04:17.320]  就是我觉得这个是
[00:04:17.320 --> 00:04:18.540]  最符合我的口味的
[00:04:18.540 --> 00:04:19.300]  就是它的酒味
[00:04:19.300 --> 00:04:20.520]  可能是没有这么重
[00:04:20.520 --> 00:04:22.240]  那比较着重在一些
[00:04:22.240 --> 00:04:23.740]  像是一些什么花香
[00:04:23.740 --> 00:04:24.660]  草香之类的
[00:04:24.660 --> 00:04:25.960]  这是我比较喜欢的风味
[00:04:25.960 --> 00:04:27.180]  那一开始我刚入坑的时候
[00:04:27.180 --> 00:04:28.700]  因为名气最大的
[00:04:28.700 --> 00:04:30.160]  就是波尔多那几个酒庄
[00:04:30.160 --> 00:04:30.960]  像什么拉菲
[00:04:30.960 --> 00:04:31.960]  你有在看港片的
[00:04:31.960 --> 00:04:33.140]  一定知道82年的拉菲
[00:04:33.140 --> 00:04:34.560]  我家我也有82年的拉菲
[00:04:34.560 --> 00:04:35.200]  我喝完一支
[00:04:35.200 --> 00:04:35.960]  我再买一支
[00:04:35.960 --> 00:04:37.120]  那但是呢
[00:04:37.120 --> 00:04:38.020]  一开始喝的时候
[00:04:38.020 --> 00:04:38.880]  是喜欢这些东西
[00:04:38.880 --> 00:04:39.580]  后来我自己觉得
[00:04:39.580 --> 00:04:40.180]  波尔多的味道
[00:04:40.180 --> 00:04:41.220]  是比较偏重一点
[00:04:41.220 --> 00:04:42.800]  所以我就没有那么喜欢
[00:04:42.800 --> 00:04:43.480]  我还是比较喜欢
[00:04:43.480 --> 00:04:44.400]  就是可能像是
[00:04:44.400 --> 00:04:45.220]  博根蒂这样的风格
[00:04:45.220 --> 00:04:46.060]  那当然博根蒂呢
[00:04:46.060 --> 00:04:47.560]  因为它比较稀缺的
[00:04:47.560 --> 00:04:48.360]  一个关系
[00:04:48.360 --> 00:04:49.920]  所以一级元特级元
[00:04:49.920 --> 00:04:50.960]  特别是知名的酒庄
[00:04:50.960 --> 00:04:52.220]  它都是炒作到一个
[00:04:52.220 --> 00:04:53.760]  非常难以接近的价格
[00:04:53.760 --> 00:04:54.460]  可是不代表
[00:04:54.460 --> 00:04:55.300]  你一定要去买这个
[00:04:55.300 --> 00:04:56.140]  才可以喝到
[00:04:56.140 --> 00:04:57.160]  博根蒂的一些风味
[00:04:57.160 --> 00:04:58.400]  就如果你今天去走一些
[00:04:58.400 --> 00:04:59.340]  村庄级的选项
[00:04:59.340 --> 00:05:00.440]  那或者是一些
[00:05:00.440 --> 00:05:02.680]  可能没有这么知名度的酒庄
[00:05:02.680 --> 00:05:03.440]  但是因为博根蒂
[00:05:03.440 --> 00:05:04.620]  它毕竟是耕地块的
[00:05:04.620 --> 00:05:06.000]  也就是可能像一些
[00:05:06.000 --> 00:05:06.840]  特级元一级元
[00:05:06.840 --> 00:05:07.740]  那上面会有很多人
[00:05:07.740 --> 00:05:08.560]  在那边耕种
[00:05:08.560 --> 00:05:09.760]  那理论上呢
[00:05:09.760 --> 00:05:10.940]  当然只有两派的说法
[00:05:10.940 --> 00:05:12.420]  一派的说法就是说
[00:05:12.420 --> 00:05:13.600]  其实酿酒师本身
[00:05:13.600 --> 00:05:15.180]  会决定的口味很大
[00:05:15.180 --> 00:05:16.120]  那另外一派的说法
[00:05:16.120 --> 00:05:17.740]  特别是有很多大师的说法是
[00:05:17.740 --> 00:05:19.220]  我们只是忠实的去反映
[00:05:19.220 --> 00:05:21.620]  这个地块该有的一个味道
[00:05:21.620 --> 00:05:22.720]  所以酿酒师呢
[00:05:22.720 --> 00:05:23.680]  如果你有自己的
[00:05:23.680 --> 00:05:25.040]  太多色彩在里面
[00:05:25.040 --> 00:05:26.060]  反而不是一个好事情
[00:05:26.060 --> 00:05:26.880]  那总之呢
[00:05:26.880 --> 00:05:27.920]  我自己也是比较偏向
[00:05:27.920 --> 00:05:29.180]  是地块的一个信徒
[00:05:29.180 --> 00:05:30.000]  那当然有些
[00:05:30.000 --> 00:05:31.680]  酿酒者非常强大的
[00:05:31.680 --> 00:05:32.420]  像乐化我觉得
[00:05:32.420 --> 00:05:33.660]  就是真的是很厉害
[00:05:33.660 --> 00:05:34.040]  那只是当然
[00:05:34.040 --> 00:05:35.260]  它价格也是贵的不可思议
[00:05:35.260 --> 00:05:36.620]  那它种出来的东西
[00:05:36.620 --> 00:05:37.840]  就真的比别人香很多
[00:05:37.840 --> 00:05:38.140]  你也不知道
[00:05:38.140 --> 00:05:38.820]  到底发生什么事情
[00:05:38.820 --> 00:05:39.860]  即便是在同一个地块
[00:05:39.860 --> 00:05:40.800]  那可是呢
[00:05:40.800 --> 00:05:41.600]  绝大多数的状况之下
[00:05:41.600 --> 00:05:42.460]  你用地块去选
[00:05:42.460 --> 00:05:43.760]  我觉得是OK的
[00:05:43.760 --> 00:05:44.860]  就没有什么太大的问题
[00:05:44.860 --> 00:05:46.080]  那波尔多的话呢
[00:05:46.080 --> 00:05:47.420]  就是跟着酒庄啦
[00:05:47.420 --> 00:05:48.960]  所以如果说预算比较够的
[00:05:48.960 --> 00:05:50.640]  你就可以去买它一军的酒
[00:05:50.640 --> 00:05:52.060]  那如果预算没有这么够的
[00:05:52.060 --> 00:05:52.780]  像那些五大
[00:05:52.780 --> 00:05:54.020]  他们都有它的二军的酒
[00:05:54.020 --> 00:05:54.940]  那二军的酒其实
[00:05:54.940 --> 00:05:56.780]  差距也不会到太大
[00:05:56.780 --> 00:05:58.740]  是一个可以减便宜的选项
[00:05:58.740 --> 00:05:59.760]  那再来呢
[00:05:59.760 --> 00:06:00.860]  我自己是比较喜欢右岸
[00:06:00.860 --> 00:06:01.680]  就是一开始在
[00:06:01.680 --> 00:06:02.680]  长辈推坑之下
[00:06:02.680 --> 00:06:03.580]  他们都推我左岸
[00:06:03.580 --> 00:06:04.220]  但后来发现说
[00:06:04.220 --> 00:06:05.280]  就是长辈他们可能
[00:06:05.280 --> 00:06:06.580]  你知道他有些味道喝不到
[00:06:06.580 --> 00:06:07.780]  就像是我可能喜欢喝
[00:06:07.780 --> 00:06:08.680]  十八天跟金牌
[00:06:08.680 --> 00:06:09.540]  那长辈就说
[00:06:09.540 --> 00:06:10.820]  他们喜欢喝传统的台啤
[00:06:10.820 --> 00:06:11.740]  他们觉得这才有味道
[00:06:11.740 --> 00:06:12.680]  所以一样的道理
[00:06:12.680 --> 00:06:13.840]  就是我可能年纪还没有到
[00:06:13.840 --> 00:06:14.720]  所以我后来就觉得说
[00:06:14.720 --> 00:06:16.400]  左岸的东西都是太重了
[00:06:16.400 --> 00:06:17.180]  酒味太浓
[00:06:17.180 --> 00:06:18.200]  所以真的要喝
[00:06:18.200 --> 00:06:19.120]  就是他一定要放很久
[00:06:19.120 --> 00:06:20.040]  他可能要三十年
[00:06:20.040 --> 00:06:20.900]  四十年以上的
[00:06:20.900 --> 00:06:21.820]  我才会觉得说OK
[00:06:21.820 --> 00:06:23.240]  可是三四十年又有可能会
[00:06:23.240 --> 00:06:24.880]  放到已经有一些
[00:06:24.880 --> 00:06:26.680]  那种金针菇尾部的味道
[00:06:26.680 --> 00:06:27.620]  那有些人喜欢那个味道
[00:06:27.620 --> 00:06:28.400]  可是我非常的不喜欢
[00:06:28.400 --> 00:06:30.320]  所以后来就对左岸就海了
[00:06:30.320 --> 00:06:31.120]  我比较喜欢右岸的
[00:06:31.120 --> 00:06:31.720]  就是Pomerol
[00:06:31.720 --> 00:06:33.500]  然后跟Merlot葡萄
[00:06:33.500 --> 00:06:35.360]  他所酿出来的一些红酒
[00:06:35.360 --> 00:06:36.320]  那当然右岸的东西
[00:06:36.320 --> 00:06:37.580]  有蛮多也是被炒到
[00:06:37.580 --> 00:06:38.580]  很靠背的价格
[00:06:38.580 --> 00:06:40.640]  那如果说我们今天进入新世界
[00:06:40.640 --> 00:06:42.140]  就是往美国那边去的话呢
[00:06:42.140 --> 00:06:42.800]  那美国这边
[00:06:42.800 --> 00:06:44.160]  我就有很多很喜欢的
[00:06:44.160 --> 00:06:44.920]  那像一个什么
[00:06:44.920 --> 00:06:46.320]  Montbrave
[00:06:46.320 --> 00:06:47.320]  勇敢山
[00:06:47.320 --> 00:06:48.660]  那也是可能两三千块
[00:06:48.660 --> 00:06:49.880]  我觉得它的味道就很好
[00:06:49.880 --> 00:06:51.260]  那贵的话呢
[00:06:51.260 --> 00:06:52.000]  像Screaming Eagle
[00:06:52.000 --> 00:06:53.420]  我真的就是还蛮喜欢的
[00:06:53.420 --> 00:06:55.200]  但是我后来最喜欢的是一个
[00:06:55.200 --> 00:06:55.700]  Harland
[00:06:55.700 --> 00:06:57.820]  它大概就是Screaming Eagle的半价而已
[00:06:57.820 --> 00:06:59.080]  可是味道非常好
[00:06:59.080 --> 00:06:59.880]  那Screaming Eagle的话
[00:06:59.880 --> 00:07:00.980]  我觉得它的平体版本
[00:07:00.980 --> 00:07:02.580]  就是你可以选那个Cask 23
[00:07:02.580 --> 00:07:03.880]  它是还蛮不错的
[00:07:03.880 --> 00:07:04.860]  那再来呢
[00:07:04.860 --> 00:07:06.120]  如果说你觉得整个
[00:07:06.120 --> 00:07:07.560]  那怕也是不便宜的话
[00:07:07.560 --> 00:07:09.300]  你可以再往南美去选
[00:07:09.300 --> 00:07:10.460]  我觉得那个味道
[00:07:10.460 --> 00:07:12.020]  其实并不会说差很远
[00:07:12.020 --> 00:07:13.040]  都是比较偏向是那种
[00:07:13.040 --> 00:07:14.300]  水果炸弹的感觉
[00:07:14.300 --> 00:07:15.740]  就是满满的果味
[00:07:15.740 --> 00:07:16.620]  非常的浓郁
[00:07:16.620 --> 00:07:18.400]  那南美洲就有超级多
[00:07:18.400 --> 00:07:19.600]  便宜实惠的选项
[00:07:19.600 --> 00:07:20.360]  像之前跟大家推的
[00:07:20.360 --> 00:07:20.800]  那个Catina
[00:07:20.800 --> 00:07:22.460]  就是南美的一个
[00:07:22.460 --> 00:07:24.080]  我觉得是还蛮厉害的酒庄
[00:07:24.080 --> 00:07:25.420]  那我就直接来跟大家讲一下
[00:07:25.420 --> 00:07:26.900]  我在全联挑到了哪些东西
[00:07:26.900 --> 00:07:28.120]  那首先有一个是
[00:07:28.120 --> 00:07:29.680]  DV Catina Malbec
[00:07:29.680 --> 00:07:33.080]  这个我觉得它喝起来的味道
[00:07:33.080 --> 00:07:35.100]  是非常的干净的
[00:07:35.100 --> 00:07:36.300]  就是说它有当然
[00:07:36.300 --> 00:07:37.540]  各种浓厚的
[00:07:37.540 --> 00:07:38.080]  果香
[00:07:38.080 --> 00:07:39.180]  一点点那种
[00:07:39.180 --> 00:07:40.740]  黑色水果的味道
[00:07:40.740 --> 00:07:41.860]  这个不是我在那边瞎掰
[00:07:41.860 --> 00:07:42.940]  我特别去买了一本
[00:07:42.940 --> 00:07:43.900]  那种味道书
[00:07:43.900 --> 00:07:44.640]  然后就整天在那边
[00:07:44.640 --> 00:07:45.280]  闻那个味道
[00:07:45.280 --> 00:07:46.280]  黑李子
[00:07:46.280 --> 00:07:47.340]  一点点紫罗兰
[00:07:47.340 --> 00:07:48.360]  那巧克力的话
[00:07:48.360 --> 00:07:48.960]  可能有些人闻得到
[00:07:48.960 --> 00:07:49.440]  有些人闻不到
[00:07:49.440 --> 00:07:49.720]  我觉得好
[00:07:49.720 --> 00:07:50.260]  但问我老婆
[00:07:50.260 --> 00:07:51.180]  她可能闻得到
[00:07:51.180 --> 00:07:52.180]  那再来就是一些
[00:07:52.180 --> 00:07:53.620]  橡木的味道
[00:07:53.620 --> 00:07:54.960]  那口感算是
[00:07:54.960 --> 00:07:57.400]  很饱满的一个选项
[00:07:57.400 --> 00:07:58.580]  那这个东西呢
[00:07:58.580 --> 00:07:59.640]  在这个价位
[00:07:59.640 --> 00:08:00.820]  就是可能几百块来说
[00:08:00.820 --> 00:08:02.760]  是非常的物超所值
[00:08:02.760 --> 00:08:03.800]  就是你要感受一下
[00:08:03.800 --> 00:08:05.240]  这种水果烘炸的话
[00:08:05.240 --> 00:08:06.140]  我觉得它是一个
[00:08:06.140 --> 00:08:07.180]  还蛮屌的选项
[00:08:07.180 --> 00:08:08.140]  那第二个呢
[00:08:08.140 --> 00:08:09.220]  是Luca Laborde
[00:08:09.220 --> 00:08:11.240]  那它是一个Cera
[00:08:11.240 --> 00:08:12.060]  就是用Cera
[00:08:12.060 --> 00:08:13.920]  这个葡萄所做出来的东西
[00:08:13.920 --> 00:08:15.340]  那它的香味的辨识度
[00:08:15.340 --> 00:08:16.360]  就是还蛮高的
[00:08:16.360 --> 00:08:17.480]  那多了一点点
[00:08:17.480 --> 00:08:18.580]  就是他们把它称为
[00:08:18.580 --> 00:08:19.360]  是皮革味
[00:08:19.360 --> 00:08:21.440]  那它的口感也是偏浓
[00:08:21.440 --> 00:08:22.040]  但是呢
[00:08:22.040 --> 00:08:23.300]  不会说太重
[00:08:23.300 --> 00:08:24.300]  然后再来就是
[00:08:24.300 --> 00:08:25.680]  我觉得它丹宁是
[00:08:25.680 --> 00:08:26.960]  还蛮结实的
[00:08:26.960 --> 00:08:27.860]  那尾韵呢
[00:08:27.860 --> 00:08:29.140]  是相对长一点的
[00:08:29.140 --> 00:08:31.280]  那以这个价位的酒来说
[00:08:31.280 --> 00:08:32.480]  你要有比较长的尾韵
[00:08:32.480 --> 00:08:33.540]  其实是比较困难的
[00:08:33.540 --> 00:08:34.180]  就是简单来讲
[00:08:34.180 --> 00:08:34.660]  就是说像
[00:08:34.660 --> 00:08:35.960]  我自己喜欢的
[00:08:35.960 --> 00:08:36.120]  一些
[00:08:36.120 --> 00:08:36.720]  一些酒庄
[00:08:36.720 --> 00:08:37.520]  我会故意买它
[00:08:37.520 --> 00:08:39.020]  最入门跟它最贵的
[00:08:39.020 --> 00:08:39.680]  一般最贵的
[00:08:39.680 --> 00:08:41.560]  就是说那个味道的细腻度
[00:08:41.560 --> 00:08:43.060]  跟精致程度
[00:08:43.060 --> 00:08:43.940]  会拉到很高
[00:08:43.940 --> 00:08:45.020]  有点像是说
[00:08:45.020 --> 00:08:46.680]  你今天去买一个
[00:08:46.680 --> 00:08:47.480]  怎么讲
[00:08:47.480 --> 00:08:48.720]  就可能几千块以上的毛衣
[00:08:48.720 --> 00:08:49.800]  然后到你去买
[00:08:49.800 --> 00:08:50.640]  那个什么Loropiana
[00:08:50.640 --> 00:08:52.060]  老实讲啦
[00:08:52.060 --> 00:08:53.080]  对于绝大多数人来讲
[00:08:53.080 --> 00:08:54.140]  你已经分不出差别
[00:08:54.140 --> 00:08:55.280]  你真的要很认真去喝
[00:08:55.280 --> 00:08:56.240]  你才喝得出那个差别
[00:08:56.240 --> 00:08:57.460]  那有点像是这样子的味道
[00:08:57.460 --> 00:08:58.320]  所以基本上
[00:08:58.320 --> 00:08:59.160]  你只要挑到一个
[00:08:59.160 --> 00:08:59.900]  够好的酒庄
[00:08:59.900 --> 00:09:00.680]  跟不错的地块
[00:09:00.680 --> 00:09:01.520]  你就很难输了
[00:09:01.520 --> 00:09:02.120]  那在网上
[00:09:02.120 --> 00:09:03.080]  要去分出来就不容易
[00:09:03.080 --> 00:09:04.300]  但可能像是
[00:09:04.300 --> 00:09:06.080]  尾韵这个东西
[00:09:06.080 --> 00:09:06.900]  就是说它的味道
[00:09:06.900 --> 00:09:07.660]  拉得长不长
[00:09:07.660 --> 00:09:08.280]  这个对我来讲
[00:09:08.280 --> 00:09:09.380]  算还蛮明显可以分得出来
[00:09:09.380 --> 00:09:10.400]  它是相对长
[00:09:10.400 --> 00:09:11.080]  以这个价位来讲
[00:09:11.080 --> 00:09:12.900]  算是一个非常好的选项
[00:09:12.900 --> 00:09:13.740]  然后去配一些
[00:09:13.740 --> 00:09:14.900]  比较重口的东西
[00:09:14.900 --> 00:09:16.440]  我觉得是还蛮适合的
[00:09:16.440 --> 00:09:17.440]  所以可能是一个
[00:09:17.440 --> 00:09:19.140]  蛮令人兴奋的Cera
[00:09:19.140 --> 00:09:20.540]  算是还蛮推荐的
[00:09:20.540 --> 00:09:21.020]  然后再来
[00:09:21.020 --> 00:09:22.220]  西班牙有一款
[00:09:22.220 --> 00:09:23.720]  叫做Bardo's Reserva
[00:09:23.720 --> 00:09:24.160]  那这个
[00:09:24.160 --> 00:09:25.300]  我自己也算是
[00:09:25.300 --> 00:09:26.400]  还蛮喜欢的
[00:09:26.400 --> 00:09:27.340]  它是Temperneal
[00:09:27.340 --> 00:09:28.400]  然后可能搭一点
[00:09:28.400 --> 00:09:29.480]  Carbonate Sauvignon
[00:09:29.480 --> 00:09:31.120]  去做出来的
[00:09:31.120 --> 00:09:32.100]  那是用那种
[00:09:32.100 --> 00:09:33.300]  好像是全新的橡木桶
[00:09:33.300 --> 00:09:34.460]  去熟成一阵之后
[00:09:34.460 --> 00:09:35.180]  才把它放出来
[00:09:35.180 --> 00:09:36.100]  那它就是有一点那种
[00:09:36.100 --> 00:09:37.800]  黑醋粒的味道
[00:09:37.800 --> 00:09:39.520]  然后有一点点雪松
[00:09:39.520 --> 00:09:40.520]  我感觉是这样子
[00:09:40.520 --> 00:09:41.100]  那薄荷
[00:09:41.100 --> 00:09:41.820]  我上网查
[00:09:41.820 --> 00:09:42.320]  蛮多人说有
[00:09:42.320 --> 00:09:43.960]  可是我是喝不太出薄荷的味道
[00:09:43.960 --> 00:09:44.320]  但总之
[00:09:44.320 --> 00:09:45.840]  这也是一支蛮认真
[00:09:45.840 --> 00:09:47.860]  然后是现代风格的酒
[00:09:47.860 --> 00:09:50.040]  那以这个价钱来说
[00:09:50.040 --> 00:09:52.000]  它算是给你非常多的东西
[00:09:52.000 --> 00:09:53.040]  所以这也是一个
[00:09:53.040 --> 00:09:53.880]  蛮赞的选项
[00:09:53.880 --> 00:09:55.620]  然后再来就是两个白的
[00:09:55.620 --> 00:09:56.340]  因为我觉得有红的
[00:09:56.340 --> 00:09:57.000]  就要有白的
[00:09:57.000 --> 00:09:58.160]  那首先是一个
[00:09:58.160 --> 00:10:00.000]  叫做Familmas
[00:10:00.000 --> 00:10:00.880]  应该是这样念
[00:10:00.880 --> 00:10:02.500]  就是F-A-M-I-L-L-E
[00:10:02.500 --> 00:10:03.720]  那M-A-S-S-E
[00:10:03.720 --> 00:10:05.160]  那后面就是那个法文
[00:10:05.160 --> 00:10:06.020]  超难念的
[00:10:06.020 --> 00:10:06.880]  那Tara
[00:10:06.880 --> 00:10:07.680]  Tara
[00:10:07.680 --> 00:10:08.020]  不会
[00:10:08.020 --> 00:10:08.600]  反正就是
[00:10:08.600 --> 00:10:10.180]  总之你用Familmas
[00:10:10.180 --> 00:10:11.140]  应该就可以找到
[00:10:11.140 --> 00:10:13.200]  然后Bourgogne Chardonnay
