start	end	text
250540	251300	那其实我相信
251300	253200	绝大多数有去参与股票市场的人
253200	254900	应该都比较难
254900	255580	表现得不好
255580	258540	那以我们的节目的气氛仔来讲
258540	259240	就绝大多数人
259240	261180	可能是去买0050这样子的东西嘛
261180	262220	那今年的year to date
262220	263400	都还是有个50%
263400	265040	这个是非常吓人的数字
265040	266500	那所以我相信
266500	267100	绝大多数人
267320	268020	在投资
268020	269180	或者说在这个
269180	270500	跟怎么讲
270500	272540	买卖相关的方面呢
272540	273580	应该都还蛮不错的
273580	275020	那至于是实体生意的话
275020	276100	可能就比较
276100	277160	一翻两瞪眼
277160	277820	有些人的生活
277820	278700	可能就没这么好
278700	279820	那因为我自己的工作
279820	282020	就是着重在投资方面嘛
282020	283220	所以对我来讲
283220	284000	我算是过了一个
284000	285640	非常好的上半年
285640	287800	那目前我的绩效的highlight
287800	289360	是落在差不多4到6月
289360	290200	那其实4到6月
290200	291000	也是大盘一个
291000	292540	高速爬升的时间啦
292540	293380	所以它一定有那种
293380	295440	beta加分的成分在里面
295440	296920	那只是5月的那一波呢
296920	297300	算是
297320	298120	我有史以来
298120	299080	第一次感受到
299080	300440	好像什么事情都不用做
300440	301880	然后就可以疯狂赚钱的
301880	302580	一段时间
302580	304000	因为那时候手上的持股
304000	305820	几乎都涨到进去储值股
305820	306900	然后最恐怖的是
306900	308260	就是过往的惯例啦
308260	309140	就进储值股之后
309140	310900	可能它的波动性就会降低
310900	311680	或者说它会变成
311680	312420	这个区间盘
312420	313840	那可是在差不多
313840	314500	4、5月的时候
314500	315280	有很多储值股
315280	316640	它反而是变成标股
316640	318020	所以就是越关越大尾
318020	319280	从5分钟变20分钟
319280	320540	然后甚至是连续储值
320540	321860	那那段时间呢
321860	323060	因为我绝大多数的部位
323060	324580	都是被锁在储值股里面
324580	325660	所以连动都不能动
325660	326820	那过往是这样子
326820	327640	就是可能一个东西
327640	328380	在那边喷喷喷
328380	329800	那有时候会出现一些回挡
329800	331020	有时候会去踩一些均线
331020	332000	可能我就会去调节
332000	332580	去减嘛
332580	333460	然后或甚至
333460	334860	我不一定是想把它卖掉
334860	335660	因为在过程之中
335660	336520	我可能一直注意到
336520	337320	新的题材嘛
337320	338620	那我要去买新的题材
338620	340120	我是习惯满仓的那一种人
340120	340700	所以我就必须要
340700	341940	卖东西去买
341940	342220	也就是说
342220	342820	我不是不看好它
342820	343960	我就是需要把它卖出来
343960	345580	因为我东西要花钱嘛
345580	346220	我又没有办法
346220	347980	从天上掉钱下来
347980	349120	那所以其实过往呢
349120	350060	去报一些波段
350060	351260	虽然理论上
351260	352460	在过去一阵子
352460	353880	已经是比之前更好
353880	354380	就是你已经
354380	355260	比较可以去吃到
355260	356160	那种大型的波段
356160	356820	可是在过程之中
356820	357600	你就一直慢慢去
357600	359680	做一些减码跟调节
359680	360740	那这当然又要有坏了
360740	362240	就是坏的部分
362240	363140	就是有时候你注意到
363140	364040	一些那种超级大鱼
364040	365020	你没有用全仓
365020	365720	去把它吃完
365720	366500	那好的部分
366500	366920	就是有时候
366920	367600	你减码的东西
367600	368440	它后来就证实
368440	369620	它真的只是一个小波段
369620	370500	然后就没有吃到
370500	371740	但绝大多数人的想法
371740	372880	应该都跟我是比较类似
372880	373620	如果可以稍微
373620	374460	轻松一点赚钱
374460	375740	谁不想要轻松一点赚钱
375740	376660	那也因为东西
376660	377460	会被灌在储值里面
377460	378520	是完全是动弹不得
378520	379380	那甚至那时候
379380	380980	有些自己手上的部位是
380980	382580	它进储值的时候
382580	383900	你大概只要丢个
383900	384940	可能30张50张
384940	385800	它本来量还蛮大的
385800	386620	可是它进储值之后
386620	387300	30张50张
387300	387720	你可能就可以
387720	388600	直接把它灌到碟亭
388600	389600	所以你根本就是
389600	391040	完全不可能去动它
391040	392280	然后它就这样一直上去
392280	393180	上到储值后
393180	394500	才有办法给你去做调节
394500	395780	那所以自己的五月
395780	396660	就算是打出一个
396660	398000	非常暴利的报酬
398000	399580	那自己回头看会觉得
399580	400320	那时候四月
400320	401860	已经觉得非常不可思议了
401860	402780	然后没有想到到五月
402780	403580	还有这样子一波
403580	404200	所以真的只有
404200	405360	感恩赞叹的心情
405360	406800	那今年年初到现在
406800	408240	也算是切了蛮多的题材
408240	410280	一开始是做卫星相关
410280	411740	那后来有切一些载板
411740	413100	那再来做一些
413100	414040	玻璃机板的东西
414040	415180	这都差不多在第一季
415180	416260	左右的时候就完成了
416260	416740	也就是后来
416740	418040	我就差不多去减码
418040	418880	再换到新的东西
418880	420200	那进入到第二季
420200	421120	就开始去做一些
421120	421880	涨价的题材
421880	422980	像是被动元件
422980	424320	或者说比较近期的
424320	425240	功率元件等等
425240	426480	那在美股这边
426480	428060	动作就比较少一点
428060	429000	因为一般来说
429000	431140	都是用较为长期的心态
431140	431960	去看它
431960	433020	那最近一个
433020	434040	比较大的调动就是
434040	435540	因为需要去挪钱出来
435540	436340	买SpaceX
436340	437640	那所以就会把一些
437640	438340	手上持股
438340	439440	可能表现比较不好的
439440	440380	就把它卖一卖
440380	441360	然后以及Tesla
441360	441780	也卖一卖
441780	442760	因为觉得反正我最主要
442760	443380	要去买Tesla
443380	444480	也是为了压住马斯克
444480	445660	那现在有一个SpaceX
445660	446220	可以压住
446220	448140	那所以就去挑截出
448140	448820	一部分的资金
448820	449880	去买了SpaceX
449880	451160	那再来比较大的亮点
451160	452400	就是算是有压到
452400	453280	整个CPU
453280	454320	然后再来ASIC的话
454320	455820	Marvell也是有压到
455820	457600	但是最近这几档
457600	458280	都稍微都有去
458280	458940	做一点调节
458940	459160	为什么
459160	459960	因为可以注意到
459960	461140	美股的走势
461140	462280	蛮分化的
462280	463920	那一般在台股这边
463920	465040	就是可能转弱的东西
465040	466120	我就会把它卖掉
466120	467100	那可是美股
467100	468020	转弱的东西
468020	469900	我还蛮喜欢去接刀的
469900	471260	所以就是看到
471260	472280	可能像是
472280	473480	一些掉下来的科学巨头
473480	474600	他们现在可能
474600	475100	落到一个
475100	476320	我觉得蛮不错的价位
476320	477680	或是一些蛮大的均线
477680	479100	那所以就有去把一些
479100	480060	相对强势的东西
480060	480840	砍一点出来
480840	481680	然后再换到这些
481680	482540	比较弱的东西
482540	483580	那再来就是在
483580	484160	软铁的持股
484160	485460	也有去做一些调整
485460	486440	其实我自己本来心中
486440	487360	是觉得像Planetier
487360	488540	这种估值超高的东西
488540	489780	要有机会继续往前冲
489780	490480	就是一般这种
490480	491320	大家最不相信
491320	492480	觉得贵到不可思议
492480	493400	那甚至很多人
493400	494460	想上去放空的东西
494460	495980	它就会持续的领头下去
495980	496640	但看起来
496640	497820	在过去一阵子
497820	498960	它的表现是相对的
498960	499800	比较疲弱一点
499800	501440	那在整个Portfolio里面
501440	502060	走得比较好的
502060	502820	像是Cross Strike
502820	503540	那好的东西
503540	504760	就持续有在去点它
504760	506520	那比较没有那么好的东西
506520	507540	也是不会到
507540	508480	要需要去减
508480	509640	但是就不会再去
509640	510680	做额外的一个加码
510680	512040	是目前用这样的态度去看
512040	514500	那自己心中的一个剧本
514500	515460	是认为说
515460	516560	在美股这边
516560	518380	是相对的难做一点
518380	519680	那我还是相信
519680	520460	后面一定是要
520460	521720	转进去应用层面的
521720	522420	一些表现
522420	523100	所以像是巨头
523100	524200	应该要有一些机会
524200	525620	那特别我比较喜欢的
525620	526400	会是Google
526400	527400	因为Google它现在
527400	528620	在降本增效方面
528620	529860	算是做得非常好
529860	531520	不管是自己的晶片开发
531520	533260	或是一些Portfolio的配置
533260	535700	在模型的各种应用层面上
535700	536200	其实我觉得
536200	537440	它把公司调整到
537440	538460	一个蛮好的状态
538460	539760	那所以目前
539760	540740	虽然科技巨头表现
540740	541480	是没有这么好
541480	542160	但我还是会觉得
542160	543240	可能可以往这边
543240	544520	去做一个压住
544520	545500	那苹果的话
545500	547140	是我相信在Age短之后
547140	548380	它有机会会是一个
548380	550560	持续维持领导地位的公司
550560	551780	虽然可能在过去一阵子
551780	553060	大家比较不喜欢它
553060	554160	认为说它在AI
554160	555100	没有布局或什么的
555100	556340	但是像我们自己
556340	558180	满手都还是苹果的产品
558180	559760	所以就还是会相信说
559760	560760	这家公司是有机会
560760	562500	会为我们带来一些惊喜
562500	564100	那只是一直没有找到
564100	565300	比较合适的切入点
565300	566040	我自己会觉得说
566040	567320	可能等到它稍微转强一点
567320	568360	像礼拜五有注意到
568360	569580	已经跌深的
569580	570880	像微软或是说苹果
570880	571860	它们反而是在
571860	573100	大家很不好的时候
573100	574020	它们就跳起来
574020	575320	那如果说在接下来
575320	576580	你注意到它们持续上去的话
576580	577320	那我觉得我可能会
577320	578960	把一些钱移到这些地方来
578960	580320	所以以美股来说
580320	581800	它的表现是跟台股比起来
581800	583240	我觉得差蛮多的
583240	585020	那还是相信说
585020	585800	后面是有机会
585800	587280	因为一般台股跟美股市场
587280	588180	特别是我们节目
588180	588880	也这么多年的
588880	590160	那过去我们的经验
590160	591080	就是会轮来轮去
591080	591860	有时候大家在那边
591860	592920	狂骂美股很烂的时候
592920	594040	后来美股就给你惊喜
594040	594880	那反之一统
594880	596040	大家觉得台股不好的时候
596040	596780	后来台股有时候
596780	597740	就会给你一些惊喜
597740	599840	那所以就还是持续的去做
599840	601360	该有的一些布局
601360	602820	那整个上半年
602820	604500	目前看下来是非常的满意
604500	606320	虽然在过去的一个礼拜
606320	607380	算是遭受到了
607380	608600	蛮大的一个重击
608600	609800	按照我自己的
609800	610820	进职的表现来说
610820	613080	差不多再这样下去的话
613080	613800	很快就会把
613800	615120	六月的东西给赔掉
615120	616620	那四五月要赔掉
616620	617280	就老实讲
617280	618200	应该是还蛮困难的
618200	618800	因为已经直接
618800	620060	再拉出一个档次了
620060	621760	所以按我的看法
621760	622600	会认为说
622600	623860	特别是有蛮多的部位
623860	625460	其实都已经是处于一个
625460	626720	相对低成本
626720	627620	当然相对低成本
627620	628320	不代表说
628320	628860	它一直跌
628860	629820	你就不用去处分它
629820	630460	不用去动它
630460	631020	但一般来讲
631020	632060	你真的会比较有耐心
632060	632920	你会比较可以
632920	633940	怎么样
633940	635160	在卡到好的位置的
635160	635860	一个状况之下
635860	637260	有机会吃到更大的一个破段
637260	638140	位置没有卡好
638140	638940	就像说你住在一个
638940	640140	破段的短线高点
640140	641380	很多时候它往下跌的时候
641380	642140	你就会觉得受不了
642140	642980	你就想把它砍掉
642980	644260	那所以就会觉得说
644260	645100	反正且战且走
645100	646160	慢慢的观察下去
646160	646900	那也希望大家
646900	648120	在接下来的下半年
648120	649660	也可以表现的蛮不错
649660	650400	虽然我自己
650400	651080	目前的态度
651080	652120	会比较偏向是中性
652120	652760	我还是觉得说
652760	654120	今年会是一个多头年
654120	655440	但是因为上半年
655440	656340	真的他妈太夸张了
656340	657320	你很难去想象
657320	658200	后面还可以更夸张
658200	659260	但我相信我四月
659260	660320	一定也讲过类似的话
660320	662540	就是四月好的不可思议
662540	663140	很难想象
663140	663720	后面可以更好
663720	664320	结果后来有一个
664320	665000	更好的五月
665000	666100	那六月一开始
666100	666720	也都非常好
666720	668240	但是在六月的下半之后
668240	669040	就开始有一点
669040	670220	那种业力引爆的感觉
670220	671380	所以整体来说是这样
671380	672140	那也希望大家
672140	673320	在接下来的半年
673320	674620	可以弄出一个
674620	676140	令你满意的半年
676140	676800	不管它是
676800	677720	可能在工作
677720	678980	在家庭或是事业上
678980	680160	不管你要专注的
680160	681320	东西是什么
681320	682200	还是投资
682200	683620	希望大家都可以去
683620	685520	达成自己要的一个目标
685520	686380	大概这样子
686380	686820	好那接下来
686820	687780	我们就来回归一下
687780	688600	最近的盘面
688600	689160	稍微讲一下
689160	690060	自己的一个看法
690060	690880	那老实说呢
690880	692420	我自己本身是以为
692420	693580	大概在礼拜三
693580	694380	礼拜四左右
694380	695440	就会开始看到
695440	696640	盘面出现一些反弹
696640	698440	特别是其实在礼拜四的
698440	699760	差不多过了
699760	701220	11点半12点之后
701220	702180	你就注意到说
702180	703560	台股有很多中小型
703560	704780	其实它是在拉尾盘
704780	706140	然后一些过去的强势股
706140	706900	也都在拉尾盘
706900	707700	所以本来
707700	708540	我以为差不多
708540	709740	到这个地方就结束
709740	710500	然后我就已经有
710500	711800	持续的把钱打进去
711800	713040	然后在礼拜五的时候
713040	714040	早上是先杀
714040	715140	然后杀完之后
715140	716040	到中午的时候
716040	717680	有一些相对强势的股票
717680	718500	有试着站回去
718500	719800	我就被套在一个
719800	720880	他妈日内的高点
720880	721680	因为我就觉得说
721680	722540	这个地方应该
722540	723300	就是要反攻了
723300	724040	因为前面
724040	725460	特别是在9点多
725460	726380	还10点的时候
726380	727700	有看到国巨的期货
727700	728620	直接跑去跌停
728620	729440	这什么意思
729440	730080	就它的现股
730080	731120	根本就还没有要去跌停
731120	732040	可是期货先跌停
732040	732960	一定是那一堆
732960	733880	杠杆杠超大的
733880	734540	要自杀了
734540	735720	所以就会认为说
735720	736880	有可能筹码到这边
736880	738080	已经洗了差不多了
738080	739100	然后在外加的时候
739100	739780	有注意到说
739780	740700	台资有一段
740700	741700	突然间的急杀
741700	742780	那个我认为也是一些
742780	744300	就是杠杆杠到最大的人
744300	745540	他们可能出现了一些
745540	746900	必须要自断
746900	747820	或甚至是已经
747820	749000	要看到断头的压力
749000	749760	所以赶快把东西
749760	751120	给处分掉
751120	752300	那就是说恐慌大逃杀
752300	753500	看到这个东西
753500	754000	就会觉得说
754000	755180	那我接下来就是等到
755180	755800	有东西开始
755800	756440	要站回去的时候
756440	758040	我就要再把部位打进去
758040	759760	但我现在心中的感受是
759760	760740	我觉得好像
760740	761940	有一点打得太快
761940	762560	也就是说
762560	763300	如果那时候反弹
763300	764860	真的是出在礼拜四的话
764860	765500	我会觉得说
765500	766240	整体的形态
766240	768100	是涨得还蛮有机会
768100	768820	就是在接下来
768820	770160	很快又会再跑下去新高
770160	770980	那可是因为
770980	772840	在额外多了一个礼拜五
772840	774460	然后这一根算是蛮大的
774460	775320	然后你就注意到说
775320	776560	其实过往的一些
776560	777840	热门族群的股票
777840	779580	他们在礼拜五的时候
779580	780600	有蛮多是直接
780600	782020	跑到季线下面去了
782020	783480	那按照我们自己的经验
783480	784440	就是这些跑到
784440	785500	季线下面的东西
785500	786320	当然你说反弹
786320	786760	会不会看到
786760	787400	反弹是会看到
787400	788260	因为杀很快的东西
788260	789640	就是后面会出一些反弹
789640	790660	那可是呢
790660	791260	就是一般如果说
791260	792240	你一次就跌到
792240	793380	季线以下的话呢
793380	794540	就是蛮高几率
794540	795700	因为他可能后面扣底
795700	797400	就会转成是负的嘛
797400	799380	那所以在反弹的过程之中
799380	800100	摸到一些
800100	801080	可能比较大的群线
801080	801760	你就会注意到
801760	802760	一堆那种美红干的
802760	803160	就会开始
803160	803860	因为他解套了
803860	804900	所以就赶快把东西丢掉
804900	805900	所以就会导致说
805900	808060	他后来要上去的一个几率
808060	809600	或者说他要上去的力道
809600	811000	都会变得蛮小的
811000	812140	那也就是说
812140	813360	在我的角度会认为说
813360	814600	如果他本来在礼拜三
814600	815780	礼拜四就继续上去的话
815780	816680	其实市场的广度
816680	817320	都还蛮大的
817320	817820	可是因为
817820	819920	有蛮多东西就直接摔破了
819920	821640	所以市场的广度就变小了
821640	822800	就可能会集中在一些
822800	823920	真的还蛮强势的东西
823920	824640	有机会会
824640	825940	后面又再跑上去
825940	826320	可是呢
826320	828700	就是那些只要去杀太深的
828700	830340	一般可能就是在反弹之后
830340	831200	你就会注意到
831200	832740	他会再一次的软掉
832740	833100	所以呢
833100	834720	这边可能是要稍微
834720	835860	比较小心的点了啦
835860	837020	就是说如果你手上的部位
837020	837940	是有看到说
837940	839960	他直接一路往下灌
839960	841480	然后灌爆季线的
841480	842480	但我是认为说
842480	843520	就是有时候比较太急
843520	844620	就是在那种最恐慌的时候
844620	845320	把部位砍掉
845320	846460	因为很多时候你回头看
846460	847380	就会发现你砍在最低点
847380	848340	可是一般这种
848340	849840	真的回到超级深
849840	850660	然后已经跑到
850660	851160	你就想嘛
851160	852740	就季线就是60天平均成本啦
852740	853660	也就是说过去60天
853660	854800	买人全部都套牢了嘛
854800	856880	那这些东西在反弹之后呢
856880	858180	就是有机会会有蛮大的卖压
858180	859320	也就是说他可能也不一定上得去
859320	860620	他只是让你少赔一点
860620	861080	或者说
861080	863560	让你可能未实现的获利
863560	864780	再多跑回来一点点
864780	866780	但是后面要再继续的快速进攻
866780	868000	一般来说
868000	869060	几率是偏低
869060	869720	几率是偏低
869720	870300	所以就是说
870300	871940	多了这一两根下去
871940	872640	我会觉得
872640	875200	有些东西可能就开始走位啦
875200	876260	当然这个可能是直接
876260	878000	分析给一些人听
878000	878660	因为对我来讲
878660	880120	我目前手上的东西
880120	881160	都还是属于那种
881160	881980	比较强势的东西
881980	883500	反正就是那些涨价元件嘛
883500	884760	那他们基本上都离
884760	885980	季线在蛮远的
885980	886600	可是我注意到
886600	887900	就是过去的一些热门族群
887900	889300	他们是直接跑到季线下面去了
889300	890680	那这个就是大家自己
890680	891420	要稍微注意一下
891420	893620	因为一般跑到季线下面的东西
893620	895440	市场上的做多意愿
895440	896200	觉得偏低啊
896200	897720	除非他突然间有一个
897720	899240	就是前面大家都没有听过的
899240	900060	好消息丢出来
900060	901620	不然这就是我们讲的
901620	902180	做坏掉了
902180	902980	就被丢坏掉了
902980	904220	他后面要再爬回去
904220	905500	就会是相对的困难一点
905500	906660	那在过去一阵子
906660	907900	当然大家就开始讨论说
907900	908940	这一波的修正
908940	909620	到底在跌什么
909620	910880	他当然有可能是跟
910880	912500	就是差不多6月5号
912500	913700	就我生日那附近的时候
913700	916280	不是也是一个超大的沙盘吗
916280	916940	跌蛮深的
916940	918580	然后后来就高速的拉回来
918580	919640	在6月15号左右
919640	921120	就开始一路在往上喷了嘛
921120	922660	当然也有可能是像
922660	924580	这样子的一个状态啦
924580	925520	但就是说
925520	926740	因为一般在市场下跌的时候
926740	927280	你就会知道
927280	928620	有很多的坏消息丢出来
928620	930120	那有些可能就是比较夸张一点
930120	931360	有些就是比较唬烂一点
931360	932540	但反正只要盘不好
932540	933540	就一定有一些坏消息
933540	935020	那一般我们不会太在意
935020	936500	那些乱丢出来的坏消息
936500	937740	可是有一些可能比较关键的
937740	938660	我们会稍微的看一下
938660	940840	那据说像最近有一个说法
940840	942000	就是说现在可能是一些
942000	942960	主权基金啊
942960	943500	退休金
943500	945800	因为他们在过去的一季
945800	946680	表现非常好
946680	947340	就跟你各位
947340	948160	或是跟我一样
948160	949540	大家可能都在科技股
949540	950420	赚到蛮多钱的
950420	952080	那他们就必须要去执行
952080	953640	就是每个季度的一个rebalance
953640	954380	这什么意思呢
954380	955340	就他portfolio里面
955340	956720	可能有东西是喷了30%
956720	957780	那有东西呢
957780	958540	可能是往下跌的
958540	959660	有东西可能是在横盘
959660	960920	那相对来说
960920	961900	那些涨比较多的
961900	962900	是不是就是在他的
962900	964220	净值的占比会变高
964220	965520	那因为他们是走一个
965520	966600	比较保守的策略
966600	966920	所以呢
966920	968440	他们就会选择去把这些
968440	969840	变高变贵的东西
969840	970560	去做一个
970560	972120	比较那种机械式的减嘛
972120	973420	那减嘛出来的钱呢
973420	974220	就会去买那些
974220	975540	现在可能已经是跑到
975540	977020	他在净值里面
977020	978760	百分比是比较低的东西
978760	979700	去做一些加嘛
979700	981100	那这个我们把它称为
981100	981840	是一个rebalance
981840	982920	那我觉得是
982920	984860	蛮合理的一个说法
984860	986020	就是因为可能在过去
986020	986960	科技股真的涨很多
986960	988540	所以导致就是你注意到说
988540	989100	有蛮多
989100	990300	喷很多的东西
990300	991540	然后被大量的提款
991540	992660	这个可能就是一种
992660	994040	就是市场那些大资金
994040	995480	太弱流强的一个结果
995480	996800	那当然也有些人说
996800	998700	是因为美伊战争这边
998700	1000100	又什么再一次去轰人家
1000100	1001400	那我稍微的看了一下
1001400	1002340	其实现在有蛮多
1002340	1003720	所谓的革命卫队
1003720	1005340	在做什么事情的新闻
1005340	1007080	那个都偏向是假消息
1007080	1008420	就是你真的去认真查之后
1008420	1008940	就会知道说
1008940	1009500	他的假消息
1009500	1011000	或者说他其实没有一些
1011000	1012160	外电的来源之类的
1012160	1013380	那就算是有外电的来源
1013380	1014100	可能是一些那种
1014100	1015580	野鸡报道之类的
1015580	1016480	那我觉得这一点
1016480	1018080	其实非常简单去做判断
1018080	1019120	就直接看油价就好
1019120	1019700	就油价已经
1019700	1021080	跌到七八十块左右
1021080	1022400	所以就像那时候
1022400	1023100	跟大家分享
1023100	1023740	因为那时候QA
1023740	1024580	有一个听众问我说
1024580	1025380	战争怎么看
1025380	1026900	我就说其实基本上
1026900	1027880	当你注意到说
1027880	1028880	他在丢一些东西
1028880	1029560	然后市场都已经
1029560	1030280	没有反应的时候
1030280	1030900	我们会去相信
1030900	1031760	市场的一个判断
1031760	1033140	那当你已经注意到说
1033140	1034220	油价已经掉到这个位置
1034220	1035160	其实应该就已经
1035160	1036520	在一个善后的阶段
1036520	1037520	就是说过去的
1037520	1038760	那个Face已经结束了
1038760	1039720	当然我们不排除
1039720	1040660	就是川普我们可能
1040660	1041860	再搞一个新的Face出来
1041860	1042540	那是有机会
1042540	1043500	只是就是
1043500	1044660	美伊战争这个事情
1044660	1046320	应该不会是市场这一波
1046320	1048100	驱动它掉下去的一个主因
1048100	1049060	因为你直接看油价
1049060	1049800	就已经是
1049800	1051720	像是Open Book一样了
1051720	1052560	那再来有些人讲说
1052560	1054200	会不会是升息的可能性
1054200	1055480	升息的可能性
1055480	1056040	当然你要看
1056040	1056960	联总会看的东西是什么
1056960	1057620	那有些人讲说
1057620	1059460	他最主要是锁定核心CPI
1059460	1060840	这是一个比较主流的说法
1060840	1061460	那有些人讲说
1061460	1062420	他其实会看整体
1062420	1063780	外面的环境是怎么样
1063780	1064820	也会去做一些调动
1064820	1066040	那像油价可能很高的时候
1066040	1066740	大家就会担心
1066740	1068580	油价现在是相对低下来
1068580	1069180	可能就还好
1069180	1070620	可是大家同时也注意到说
1070620	1071780	因为AI导致
1071780	1072320	像大家看到
1072320	1073960	那个美光的财报超级好
1073960	1074800	那现在看到
1074800	1076360	苹果也受不了要涨价了
1076360	1077200	所以有没有可能
1077200	1078580	要去压制这些
1078580	1080220	所谓的通膨的状态
1080220	1082060	即便大老板本人
1082060	1082860	川普是说
1082860	1084160	他喜欢通膨没有问题
1084160	1086000	然后去做什么
1086000	1087580	很大幅度的升息
1087580	1088240	什么一年内
1088240	1089320	要赶快再多拉个
1089320	1090360	什么三次以上之类
1090360	1091240	这个我觉得
1091240	1092840	也是属于几率偏低
1092840	1093680	因为第一个
1093680	1094680	就大老板本身
